tweetDate,twitterId,handle,text,profileUser,name,tweetLink,timestamp,query,type
Wed Jul 08 14:26:05 +0000 2020,17480896,postimees,Tapal vahetus Taani kontingendi üksus https://t.co/WneXfc2CAk,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280870777626202112,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 14:15:54 +0000 2020,17480896,postimees,Neljapäevase Järva Teataja tutvustus https://t.co/cDljlG1qoL,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280868213065232387,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 12:03:52 +0000 2020,17480896,postimees,Avatud talude päeval ootab külastajaid ligi 300 talu https://t.co/QV2vwZVkAn,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280834989752451073,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 10:27:53 +0000 2020,17480896,postimees,Flixbus alustab reise Baltikumist 16. juulil https://t.co/TdlBpsool0,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280810831685586946,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 10:15:21 +0000 2020,17480896,postimees,Rekordarv avaldusi: huvi kõrghariduse omandamise vastu aina kasvab https://t.co/ViTZ692Aqx,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280807677011136512,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 10:09:24 +0000 2020,17480896,postimees,Neli kõrgkooli said toetuse EMP kõrghariduse koostööprogrammist https://t.co/PNnVTsT4ce,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280806181175463936,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 10:00:01 +0000 2020,17480896,postimees,Manila lennujaamas lõksus olnud Jõhvi mees jäi Tallinna lennukist maha https://t.co/tgdo9TRT7B,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280803817873948672,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:54:49 +0000 2020,17480896,postimees,Demineerijad tegid Ida-Virumaal kahjutuks 115 lõhkekeha https://t.co/F56QqA005n,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280772313391288326,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:48:28 +0000 2020,17480896,postimees,Eriilmeline ja eriline Jõgevamaa https://t.co/DmWv8lGyvJ,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280770712765169664,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:48:12 +0000 2020,17480896,postimees,Lase end Raplamaal rabada! https://t.co/tAYmyTAHWd,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280770646902013954,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:47:57 +0000 2020,17480896,postimees,Kümme kena põhjust  Saaremaale ja Muhusse tulemiseks https://t.co/1smEfsuXxC,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280770583010172928,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:40:27 +0000 2020,17480896,postimees,“Trust requires good communication” https://t.co/XBt1goNi69,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280768696990883840,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 07:36:41 +0000 2020,17480896,postimees,Estonians waiting for permission to travel https://t.co/M4Yeru16Xd,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280767747601969157,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 06:17:59 +0000 2020,17480896,postimees,Kolmandik eestlastest ei ole tööeluga rahul https://t.co/up17f2M3K8,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280747942714978305,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Wed Jul 08 03:49:21 +0000 2020,17480896,postimees,Liikluses sai neli inimest vigastada ja üks hukkus https://t.co/mwWJM7DZ4V,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1280710536834015233,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
