likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
1,https://twitter.com/postimees/status/1277649530796888068,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
2,https://twitter.com/postimees/status/1277648893124190210,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1277648893124190210,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
1,https://twitter.com/postimees/status/1277631687225217025,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
,https://twitter.com/postimees/status/1277512641775312897,RT,https://www.twitter.com/@svenvarkel,@svenvarkel,Father. Chief Systems Engineer. Singer of Estonian heavy-metal band HERALD. Aficionado of Islay single malts. Hobbyist sourdough baker. #coding #music #baking,Sven Varkel,1
1,https://twitter.com/postimees/status/1277454496910770182,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
1,https://twitter.com/postimees/status/1277344619534090240,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
2,https://twitter.com/postimees/status/1277276248197214209,liked,https://www.twitter.com/@KarliKelk79,@KarliKelk79,"Filosofian maisteri, baltti ja @ChelseaFC'n fani. Tviitit suomeksi, in English ja eesti keeles. Ajattelen vapaasti, tabuja ei ole. 😎🇫🇮🇬🇧🇪🇪🇸🇪🇮🇹🇬🇪",Karli Kelk,
2,https://twitter.com/postimees/status/1277276248197214209,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
,https://twitter.com/postimees/status/1277276248197214209,RT,https://www.twitter.com/@KarliKelk79,@KarliKelk79,"Filosofian maisteri, baltti ja @ChelseaFC'n fani. Tviitit suomeksi, in English ja eesti keeles. Ajattelen vapaasti, tabuja ei ole. 😎🇫🇮🇬🇧🇪🇪🇸🇪🇮🇹🇬🇪",Karli Kelk,1
1,https://twitter.com/postimees/status/1277256027419873286,liked,https://www.twitter.com/@Liisa18187968,@Liisa18187968,"Estonia🇪🇪
2002
Do what you love, love what you do❤️",Liisa,
,https://twitter.com/postimees/status/1277256027419873286,RT,https://www.twitter.com/@Liisa18187968,@Liisa18187968,"Estonia🇪🇪
2002
Do what you love, love what you do❤️",Liisa,1
1,https://twitter.com/postimees/status/1277242897021181954,liked,https://www.twitter.com/@touhoufucker,@touhoufucker,investor,fresh,
,https://twitter.com/postimees/status/1277242897021181954,RT,https://www.twitter.com/@touhoufucker,@touhoufucker,investor,fresh,0
2,https://twitter.com/postimees/status/1277198019981725696,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1277198019981725696,liked,https://www.twitter.com/@Il_jaa,@Il_jaa,Студент консерватории по специальности хоровой дирижёр. Пишу вокально-хоровую и оркестровую музыку.,Ilja Gumenyk,
1,https://twitter.com/postimees/status/1277193733755240459,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
,https://twitter.com/postimees/status/1277193733755240459,RT,https://www.twitter.com/@hrkodanik,@hrkodanik,"make grammatical mistakes. cross country skiing fan. PhD student @_uow, soon @unitartu. researching Kierkegaard, theology and education.",igor,1
,https://twitter.com/postimees/status/1277179211317460995,RT,https://www.twitter.com/@IwuJuha,@IwuJuha,,juha j h lähteenmäki,2
,https://twitter.com/postimees/status/1277179211317460995,RT,https://www.twitter.com/@Liisa18187968,@Liisa18187968,"Estonia🇪🇪
2002
Do what you love, love what you do❤️",Liisa,2
2,https://twitter.com/postimees/status/1277175043156566016,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1277175043156566016,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
2,https://twitter.com/postimees/status/1277120008531968001,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1277120008531968001,liked,https://www.twitter.com/@Alex46775115,@Alex46775115,,Alex,
2,https://twitter.com/postimees/status/1276891918732005382,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
2,https://twitter.com/postimees/status/1276891918732005382,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
