likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@IsraelinUSA,@IsraelinUSA,Israeli news and information from the official Twitter of the Embassy of @Israel in the USA. Check us out on Facebook: http://t.co/WgFPGRoPck,Embassy of Israel,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@TraciFisher1,@TraciFisher1,OH2LA making TV #DopesickNation #OzzyAndJack #TreehouseMasters #OutDaughtered #LightFight #MyNextGuestNeedsNoIntroduction #SeatbeltPsychic #TheDeported #PrideFX,Traci Fisher,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@SophieCoberly,@SophieCoberly,Les et le bon ton roulette!!!,Sophie Coberly,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@BabyCastle75,@BabyCastle75,"""Gangstas don't die, they get chubby, and move to Miami""",IA,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@swiecamom,@swiecamom,"Mcgill MDCM, mother of five. Quebecoise et fiere canadienne. Maitre nageur. Safta. i tweet on my birthplace Israel, technology, medicine, and my sport swimming.",aline levi,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@JuanHistoriaXIX,@JuanHistoriaXIX,Mis amigos suelen decir: Entre Bismarck y Napoleón...me quedo con Juan. También me suelen llamar D. Emilio por Castelar...y eso me enorgullece...,The Only One/The Profe Juan,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@IsraelGuangzhou,@IsraelGuangzhou,"Twitter feed dedicated to promoting good relations, economic growth and friendship between the State of Israel and South China.",Israel in Guangzhou / 以色列驻广州总领事馆,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@AnatSultanDadon,@AnatSultanDadon,"🇮🇱 Diplomat, Consul General of Israel to the Southeast US, based in Atlanta. Proud mother of three girls including #KleefstraSyndrome #SuperNivi",Anat Sultan-Dadon,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@EladStr,@EladStr,"Israeli diplomat, spokesperson of @IsraelinUSA. #Foodie, #Politics, #Cartoons & #Travel. RT≠endorsement",Elad Strohmayer,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@knytych3,@knytych3,High Information Voter!,Knytych🇺🇸,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@SMILNWAV,@SMILNWAV,"Addictions Therapist, Opioid Management Specialist, Theoretical Linguist, Anthropologist, Writer, Video game player, and Avid Music Fan. Header photo: @abbyjc_",Lucy Meza (לוסי מאדה) 🔯,39,,,,,,,
,https://twitter.com/TelAviv/status/1245048160730447873,RT,https://www.twitter.com/@GmCheri,@GmCheri,"Christian, Particular Baptist (2LCF), Minnesota Ojibwa, Mississippi Band, Crane Clan, Mash-Kah-We E-Quay, Storyteller, Wild Rice Aficionado",Reformed Rosebud 🌹Retweeter 🦅,39,,,,,,,
